antecedents,consequents,support,confidence,lift,leverage,conviction
"BAKED BREAD/BUNS/ROLLS, FLUID MILK PRODUCTS",EGGS,0.050366,0.336734,2.521276,0.03039,1.306329
EGGS,"BAKED BREAD/BUNS/ROLLS, FLUID MILK PRODUCTS",0.050366,0.377111,2.521276,0.03039,1.365297
MILK BY-PRODUCTS,CHEESE,0.052737,0.557541,2.481883,0.031488,1.752379
"BAG SNACKS, BAKED BREAD/BUNS/ROLLS",CHEESE,0.051283,0.541482,2.410395,0.030007,1.691003
"BAKED BREAD/BUNS/ROLLS, FLUID MILK PRODUCTS",TROPICAL FRUIT,0.052747,0.352652,2.261303,0.029421,1.303858
TROPICAL FRUIT,"BAKED BREAD/BUNS/ROLLS, FLUID MILK PRODUCTS",0.052747,0.338226,2.261303,0.029421,1.285074
"BEEF, FLUID MILK PRODUCTS",BAKED BREAD/BUNS/ROLLS,0.055857,0.649192,2.256928,0.031108,2.030614
"BAG SNACKS, FLUID MILK PRODUCTS",BAKED BREAD/BUNS/ROLLS,0.057064,0.645189,2.243014,0.031623,2.007708
"BAG SNACKS, CHEESE",BAKED BREAD/BUNS/ROLLS,0.051283,0.642524,2.233749,0.028325,1.99274
"BAKED BREAD/BUNS/ROLLS, SOFT DRINKS",BAG SNACKS,0.052486,0.444118,2.231472,0.028965,1.440908
"BAKED BREAD/BUNS/ROLLS, CHEESE",BAG SNACKS,0.051283,0.443994,2.23085,0.028295,1.440587
DELI MEATS,BAKED BREAD/BUNS/ROLLS,0.052428,0.640132,2.225432,0.028869,1.979493
CRACKERS/MISC BKD FD,CHEESE,0.053437,0.492018,2.190209,0.029039,1.526346
"BAKED BREAD/BUNS/ROLLS, EGGS",FLUID MILK PRODUCTS,0.050366,0.712363,2.188022,0.027347,2.344715
CHEESE,"BAKED BREAD/BUNS/ROLLS, FLUID MILK PRODUCTS",0.073508,0.327221,2.187723,0.039908,1.264053
