household_key,Recency,Frequency,T,Gross_Sales,Net_Sales,avg_monetary,total_baskets,avg_basket_size,avg_transaction_value,distinct_stores,tenure_weeks,coupon_usage_rate,first_purchase_week,last_purchase_week,Cluster,predicted_purchases_6_months,predicted_clv_6_months
1,1,57,67,3019.75,2417.67,41.684,58,24.2586,41.684,2,66,0.3621,8,74,1,23.5094,1211.3681
2,4,35,60,1385.24,1124.27,31.2297,36,16.0833,31.2297,5,56,0.0833,15,71,1,12.3185,542.8901
3,3,40,58,2416.91,1704.77,41.5798,41,204.5854,41.5798,2,55,0.122,17,72,1,20.8348,865.8184
4,3,25,59,1058.1799,951.51,36.5965,26,12.6923,36.5965,5,56,0.0385,16,72,1,13.2971,596.6493
5,0,31,62,650.72,541.62,16.9256,32,6.9375,16.9256,2,62,0.0,13,75,1,8.7999,124.9768
6,0,177,57,4525.11,3914.54,21.9918,178,479.6292,21.9918,10,57,0.0112,18,75,0,62.2251,1657.2545
7,0,32,71,1928.19,1659.34,50.283,33,25.3636,50.283,2,71,0.1818,4,75,1,12.0218,499.641
8,2,73,65,3452.14,2745.46,37.1008,74,783.1351,37.1008,3,63,0.1486,10,73,1,27.4103,1335.7173
9,2,11,59,525.36,380.18,31.6817,12,20.4167,31.6817,3,57,0.0833,16,73,1,4.8312,265.9993
10,3,6,58,163.94,148.31,21.1871,7,10.7143,21.1871,2,55,0.0,17,72,1,2.2678,46.6035
11,15,4,59,33.39,22.41,4.482,5,4.0,4.482,1,44,0.0,16,60,1,2.1017,5.4448
12,2,6,64,266.21,233.51,33.3586,7,14.7143,33.3586,2,62,0.0,11,73,1,2.8478,82.8332
13,1,179,60,8788.0,7465.38,41.4743,180,6986.8778,41.4743,1,59,0.2556,15,74,0,78.5978,4435.4602
14,2,107,74,2052.1199,1583.14,14.6587,108,1000.6204,14.6587,15,72,0.0741,1,73,1,47.1017,792.8323
15,1,20,71,547.29,423.19,20.1519,21,15.0952,20.1519,4,70,0.0476,4,74,1,8.0418,172.4621
16,11,87,60,1436.0,1286.19,14.6158,88,922.3523,14.6158,1,49,0.0,15,64,1,31.7471,597.0924
17,0,110,71,4427.35,3398.76,30.6195,111,2529.5045,30.6195,3,71,0.0811,4,75,1,43.3648,1498.7663
