Covariate,SMD_before,SMD_after
Recency,0.7161046936044527,0.08895164194174526
Frequency,0.957032705189898,0.029352376307838733
avg_monetary,0.3620777928431056,0.1808246047117146
Net_Sales,1.0192870593009358,0.03685539926123553
total_baskets,0.957032705189898,0.029352376307838733
tenure_weeks,0.6841907478029163,0.09315932010506321
coupon_usage_rate,0.31501122068414017,0.07207367059687102
avg_basket_size,0.256852175948856,0.08575834482814258
distinct_stores,0.5764931046880771,0.11727133142079385
T,0.1185528411535835,0.03210798806576498
